number,product_name,product_image_url,price,rating,sold_item
1,(NEW ARRIVALS) 6.5inch WATER DROP SCREEN 4G LTE Samsung A71 8GB/256GB (Import Set)Local SellerCOD,https://down-my.img.susercontent.com/file/0c3f71a2cecb404eaea12ad2f27b5c2c_tn,208.00,5.0,3
2,Samsung Galaxy Note8_Note 8_Official SME Malaysia_6.3'' Super AMOLED_64/6Gb_DualSIM_Exynos chipset_Reduced to clearLocal Seller,https://down-my.img.susercontent.com/file/my-11134207-7r98o-llmtlv4mafdwf7_tn,180.00,5.0,35
3,Samsung S20 S21 Ultra Plus Original Screen With FrameLocal Seller,https://down-my.img.susercontent.com/file/4126cf0519b1e18589b2910c1e9f2c3e_tn,700.00,4.0,39
4,Samsung Galaxy Note 20 5G 8GB Ram 128GB RomRM15 offLocal Seller,https://down-my.img.susercontent.com/file/my-11134207-7qul5-lfgmpe3u2xq261_tn,999.00,4.0,7
5,【💯DEMO UNIT 256GB】Samsung Galaxy Note 20 Ultra 5G 12+256GB/Note 20 5G 6.7Inch Dynamic AMOLED 2X 120Hz Snapdragon 865 5GRM5 offLocal Seller,https://down-my.img.susercontent.com/file/my-11134207-7qul2-lf3xnu56bt05d8_tn,"1,775.00",4.0,48
6,"Samsung z flip 3 5g 128/256gb demo set, z flip 8/256gbLocal Seller",https://down-my.img.susercontent.com/file/my-11134207-7qukw-lkf5kj3rnrp164_tn,"1,599.00",4.0,41
7,Samsung Galaxy S23+/S23 Plus 5G 8GB + 256GB/8GB + 512GB(S916)RM15 offLocal Seller,https://down-my.img.susercontent.com/file/fc9c769e59e15675541d55f4656290ed_tn,"5,199.00",4.0,72
8,Samsung Galaxy A32 5G  6+128GB /4+64GB (A326BR)  100% Original Parts & LCD  original secondhand5% offLocal Seller,https://down-my.img.susercontent.com/file/my-11134207-7qukz-lhvosf396ar17b_tn,469.00,4.0,116
9,"Samsung Galaxy S7 Edge Duos_32/4Gb_SM-G935FD_5.5"" Super AMOLED_Exynos 8890_DualSIM_Tahan lasak_Harga RAHMAH_Fully functiLocal SellerEconomyDelivery",https://down-my.img.susercontent.com/file/my-11134207-7r98o-lkyt4apn5hof05_tn,190.00,4.0,31
10,"Samsung Galaxy S8 Duos_Official SME Malaysia_5.8"" Super AMOLED_64/4Gb_Dual SIM_Exynos 8 Chipset_Fully functional unitLocal SellerEconomyDelivery",https://down-my.img.susercontent.com/file/my-11134207-7qul3-ljwm3ygiamfu66_tn,270.00,4.0,16
11,[Ready Stock] 100% Original Samsung Galaxy Note 5 (N920) 32GB 4G **IMPORT-USED**Local SellerCOD,https://down-my.img.susercontent.com/file/my-11134207-7qul1-li1ela7uaxnh67_tn,259.00,5.0,27
12,❄❄ Samsung C3520 Original Unlocked 2.4 Inch Keyboard 3G WCDMA Flip Phone + 16GB Memory CardCOD,https://down-my.img.susercontent.com/file/0f04b87f18d169382acb8c379f7710e1_tn,100.00,4.0,51
13,Samsung Galaxy S10 5G 256GB + 8GB RAM 100% Original D e m o UnitRM9 offLocal Seller,https://down-my.img.susercontent.com/file/my-11134207-7r98u-llvta6l92u3726_tn,639.00,4.0,25
14,[Ready Stock] 100% Original SAMSUNG S22 Plus 5G 95% Like New (Snapdragon Chip)Local SellerCOD,https://down-my.img.susercontent.com/file/my-11134207-7qukz-li1f2oftmpct23_tn,"1,699.00",4.0,32
15,95NEW For Second hand Original Samsung Galaxy Note 8 64GB Note8 Cell phone [Good Condition]COD,https://down-my.img.susercontent.com/file/28671930d74f75cc42f1ccb1fa669332_tn,559.00,,0
